Uni,ACM,AU,GMU,KSU,LSU,PDX,RPI,SC,Stanford,Utah,UTK
"ACM EC",1.000,0.420,0.433,0.426,0.407,0.386,0.433,0.443,0.366,0.427,0.373
AU,0.420,1.000,0.339,0.480,0.522,0.342,0.431,0.500,0.377,0.382,0.462
GMU,0.433,0.339,1.000,0.500,0.532,0.460,0.463,0.471,0.603,0.545,0.439
KSU,0.426,0.480,0.500,1.000,0.623,0.494,0.561,0.655,0.493,0.528,0.587
LSU,0.407,0.522,0.532,0.623,1.000,0.462,0.491,0.554,0.524,0.514,0.500
PDX,0.386,0.342,0.460,0.494,0.462,1.000,0.427,0.469,0.488,0.586,0.347
RPI,0.433,0.431,0.463,0.561,0.491,0.427,1.000,0.525,0.547,0.535,0.532
SC,0.443,0.500,0.471,0.655,0.554,0.469,0.525,1.000,0.443,0.521,0.480
Stanford,0.366,0.377,0.603,0.493,0.524,0.488,0.547,0.443,1.000,0.600,0.407
Utah,0.427,0.382,0.545,0.528,0.514,0.586,0.535,0.521,0.600,1.000,0.409
UTK,0.373,0.462,0.439,0.587,0.500,0.347,0.532,0.480,0.407,0.409,1.000
