ResultSetID,Alpha,Beta,Iterations,Topics,AverageJaccard,AveragePercent,AverageNumberPredicted
1,1.0,0.0001,3000.0,100,0.24114959115,0.305050505051,0.981132075472
2,1.0,0.0001,3000.0,500,0.030303030303,0.030303030303,0.0377358490566
3,1.0,0.0001,3000.0,750,0.0,0.0,0.00943396226415
4,1.0,0.0001,3000.0,1000,0.0,0.0,0.0
5,1.0,0.001,3000.0,100,0.201515151515,0.284848484848,1.32075471698
6,1.0,0.001,3000.0,500,0.0606060606061,0.0606060606061,0.11320754717
7,1.0,0.001,3000.0,750,0.0681818181818,0.0681818181818,0.0660377358491
8,1.0,0.001,3000.0,1000,0.0681818181818,0.0681818181818,0.0754716981132
9,1.0,0.01,3000.0,100,0.165223665224,0.493939393939,3.24528301887
10,1.0,0.01,3000.0,250,0.247222222222,0.256313131313,0.61320754717
11,1.0,0.01,3000.0,750,0.0479797979798,0.0479797979798,0.122641509434
12,1.0,0.01,3000.0,1000,0.030303030303,0.030303030303,0.188679245283
13,1.0,0.1,3000.0,100,0.304131054131,0.651767676768,3.33962264151
14,1.0,0.1,3000.0,500,0.205808080808,0.251262626263,1.14150943396
15,1.0,0.1,3000.0,750,0.105555555556,0.138888888889,0.849056603774
16,1.0,0.5,3000.0,100,0.233164983165,0.538636363636,3.32075471698
17,1.0,0.5,3000.0,250,0.221464646465,0.536111111111,3.04716981132
18,1.0,0.5,3000.0,750,0.161616161616,0.257575757576,1.28301886792
19,1.0,0.5,3000.0,1000,0.156385281385,0.459090909091,4.46226415094
20,1.0,1.0,3000.0,250,0.184343434343,0.238383838384,0.735849056604
21,1.0,1.0,3000.0,500,0.122390572391,0.25202020202,2.00943396226
22,10.0,0.0001,3000.0,100,0.210606060606,0.408080808081,2.0
23,10.0,0.0001,3000.0,250,0.217171717172,0.222222222222,0.5
24,10.0,0.0001,3000.0,500,0.0631313131313,0.0631313131313,0.132075471698
25,10.0,0.0001,3000.0,750,0.0,0.0,0.0377358490566
26,10.0,0.001,3000.0,500,0.0631313131313,0.0631313131313,0.141509433962
27,10.0,0.001,3000.0,750,0.040404040404,0.040404040404,0.0283018867925
28,10.0,0.001,3000.0,1000,0.0606060606061,0.0606060606061,0.0377358490566
29,10.0,0.01,3000.0,100,0.311147186147,0.436111111111,1.33962264151
30,10.0,0.01,3000.0,250,0.0896464646465,0.104797979798,0.811320754717
31,10.0,0.01,3000.0,1000,0.138888888889,0.156565656566,0.301886792453
32,10.0,0.1,3000.0,100,0.267959902051,0.579797979798,4.5
33,10.0,0.1,3000.0,250,0.243253968254,0.309090909091,1.2641509434
34,10.0,0.1,3000.0,500,0.169696969697,0.262626262626,1.40566037736
35,10.0,0.5,3000.0,250,0.136147186147,0.228282828283,2.12264150943
36,10.0,0.5,3000.0,500,0.124473758565,0.591666666667,7.22641509434
37,10.0,0.5,3000.0,750,0.0993265993266,1.0,18.0
38,10.0,1.0,3000.0,100,0.123394660895,0.709595959596,10.0377358491
39,10.0,1.0,3000.0,500,0.0763850627487,0.477272727273,6.2358490566
40,10.0,1.0,3000.0,750,0.0993265993266,1.0,18.0
41,10.0,1.0,3000.0,1000,0.0993265993266,1.0,18.0
42,100.0,0.0001,3000.0,100,0.242604617605,0.40404040404,1.38679245283
43,100.0,0.0001,3000.0,500,0.030303030303,0.030303030303,0.0471698113208
44,100.0,0.0001,3000.0,1000,0.0,0.0,0.0
45,100.0,0.001,3000.0,100,0.255050505051,0.328282828283,1.05660377358
46,100.0,0.001,3000.0,250,0.156565656566,0.161616161616,0.556603773585
47,100.0,0.001,3000.0,500,0.00757575757576,0.00757575757576,0.0566037735849
48,100.0,0.01,3000.0,100,0.147474747475,0.179292929293,1.35849056604
49,100.0,0.01,3000.0,250,0.157575757576,0.220707070707,0.594339622642
50,100.0,0.01,3000.0,1000,0.0993265993266,1.0,18.0
51,100.0,0.1,3000.0,100,0.261952861953,0.308838383838,1.12264150943
52,100.0,0.1,3000.0,250,0.22601010101,0.27904040404,0.905660377358
53,100.0,0.1,3000.0,750,0.0479797979798,0.0479797979798,0.11320754717
54,100.0,0.1,3000.0,1000,0.0993265993266,1.0,18.0
55,100.0,0.5,3000.0,1000,0.0993265993266,1.0,18.0
56,100.0,1.0,3000.0,100,0.166750841751,0.456565656566,3.06603773585
57,500.0,0.0001,3000.0,100,0.252272727273,0.300252525253,1.57547169811
58,500.0,0.0001,3000.0,250,0.10404040404,0.120707070707,0.783018867925
59,500.0,0.0001,3000.0,500,0.040404040404,0.040404040404,0.0566037735849
60,500.0,0.001,3000.0,100,0.239634439634,0.418686868687,2.25471698113
61,500.0,0.001,3000.0,250,0.146464646465,0.176767676768,0.415094339623
62,500.0,0.001,3000.0,750,0.030303030303,0.030303030303,0.0377358490566
63,500.0,0.01,3000.0,100,0.282647907648,0.384595959596,1.58490566038
64,500.0,0.01,3000.0,250,0.18771043771,0.224494949495,0.783018867925
65,500.0,0.01,3000.0,500,0.0707070707071,0.0707070707071,0.0471698113208
66,500.0,0.1,3000.0,100,0.192171717172,0.32297979798,1.58490566038
67,500.0,0.1,3000.0,250,0.170707070707,0.176767676768,0.867924528302
68,500.0,0.1,3000.0,1000,0.0993265993266,1.0,18.0
69,500.0,0.5,3000.0,500,0.040404040404,0.040404040404,0.0754716981132
70,500.0,0.5,3000.0,750,0.030303030303,0.030303030303,0.433962264151
71,500.0,0.5,3000.0,1000,0.0993265993266,1.0,18.0
72,500.0,1.0,3000.0,100,0.163636363636,0.214646464646,1.02830188679
73,500.0,1.0,3000.0,250,0.192676767677,0.333838383838,2.35849056604
74,500.0,1.0,3000.0,500,0.0585858585859,0.0820707070707,1.5
75,500.0,1.0,3000.0,750,0.030303030303,0.030303030303,0.292452830189
76,500.0,1.0,3000.0,1000,0.0993265993266,1.0,18.0
77,1000.0,0.0001,3000.0,100,0.280952380952,0.393434343434,1.80188679245
78,1000.0,0.0001,3000.0,250,0.103535353535,0.137373737374,0.415094339623
79,1000.0,0.0001,3000.0,500,0.0631313131313,0.0631313131313,0.11320754717
80,1000.0,0.0001,3000.0,750,0.0,0.0,0.0
81,1000.0,0.0001,3000.0,1000,0.0993265993266,1.0,18.0
82,1000.0,0.001,3000.0,500,0.0555555555556,0.0555555555556,0.0566037735849
83,1000.0,0.01,3000.0,100,0.271212121212,0.359595959596,1.60377358491
84,1000.0,0.01,3000.0,250,0.191919191919,0.194444444444,0.405660377358
85,1000.0,0.01,3000.0,500,0.0707070707071,0.0707070707071,0.0377358490566
86,1000.0,0.01,3000.0,750,0.0,0.0,0.00943396226415
87,1000.0,0.1,3000.0,250,0.167676767677,0.217171717172,0.801886792453
88,1000.0,0.1,3000.0,750,0.0,0.0,0.00943396226415
89,1000.0,0.5,3000.0,100,0.206818181818,0.281565656566,2.06603773585
90,1000.0,0.5,3000.0,250,0.126767676768,0.144949494949,0.415094339623
91,1000.0,0.5,3000.0,500,0.030303030303,0.030303030303,0.0377358490566
92,1000.0,0.5,3000.0,750,0.0,0.0,0.0
93,1000.0,0.5,3000.0,1000,0.0993265993266,1.0,18.0
94,1000.0,1.0,3000.0,100,0.257070707071,0.343434343434,1.41509433962
95,1000.0,1.0,3000.0,250,0.160101010101,0.192929292929,0.518867924528
96,1000.0,1.0,3000.0,500,0.0606060606061,0.0606060606061,0.0377358490566
97,1000.0,1.0,3000.0,750,0.0,0.0,0.0
98,1000.0,1.0,3000.0,1000,0.0993265993266,1.0,18.0
